description,change1_sh,up1_sh,down1_sh,total1,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total2,total3,total4,up2_sh,up3_sh,up4_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change2_sh,change3_sh,change4_sh,division,_merge
LEMONADE/COLA DRAUGHT,.083562739,.06587337,.01768937,56305,3709,583,144,0,996,158,113,0,51600,8641,238,0,.055323202,.051189255,.1580126,,-.096784107,-.096910827,-.16887823,,9382,495,0,.062140267,.29090908,,.01684076,.22828282,,.91643727,.92101896,.48080808,,.078981027,.51919192,,11,matched (3)
HOME-BUYERS SURVEY-RSDNTL PPTY,.083050877,.055651397,.027399484,49271,2742,45,22,6,1350,39,2,1,45179,2012,361,159,.1019572,.13368894,.20714258,.13706025,-.094739176,-.08507403,-.05202641,-.013888889,2096,385,166,.021469466,.057142857,.036144577,.01860687,.0051948051,.0060240962,.91694909,.95992368,.93766236,.95783132,.040076338,.062337663,.042168673,12,matched (3)
CLEAR STICKY TAPE,.082538694,.046286486,.036252208,48135,2228,366,62,16,1745,387,160,74,44162,6328,1081,664,.18067583,.2596916,.23984432,.21096995,-.1917631,-.21648675,-.20595719,-.18341124,7081,1303,754,.051687613,.047582503,.021220159,.054653298,.12279356,.098143235,.91746134,.89365911,.82962394,.88063663,.10634091,.17037606,.1193634,9,matched (3)
CLEAR STICKY TAPE,.082538694,.046286486,.036252208,48135,2228,366,62,16,1745,387,160,74,44162,6328,1081,664,.18067583,.2596916,.23984432,.21096995,-.1917631,-.21648675,-.20595719,-.18341124,7081,1303,754,.051687613,.047582503,.021220159,.054653298,.12279356,.098143235,.91746134,.89365911,.82962394,.88063663,.10634091,.17037606,.1193634,5,matched (3)
CALCULATOR-HAND HELD-BASIC MOD,.082275711,.036907367,.045368344,13710,506,0,0,0,622,0,0,0,12582,0,0,0,.21523234,,,,-.16666162,,,,0,0,0,,,,,,,.91772431,,,,,,,9,matched (3)
STAFF RESTAURANT PUDDING,.08227551,.054335415,.027940091,14889,809,0,0,0,416,0,0,0,13664,0,0,0,.11794958,,,,-.14266768,,,,0,0,0,,,,,,,.91772449,,,,,,,11,matched (3)
STAFF RESTAURANT SANDWICH,.082172923,.054008339,.028164582,25422,1373,158,13,0,716,88,8,0,23333,2965,44,7,.096951343,.11557587,.25687164,,-.11645982,-.13689059,-.12464288,,3211,65,7,.049205855,.2,0,.027405793,.12307692,0,.91782707,.92338836,.6769231,1,.076611646,.32307693,0,11,matched (3)
DISHCLOTHS PACK OF 10,.082125604,.018719807,.063405797,1656,31,0,0,0,105,0,0,0,1520,0,0,0,.24323474,,,,-.12759528,,,,0,0,0,,,,,,,.9178744,,,,,,,5,matched (3)
SALAMI SLICED 70-113G,.081767954,.038305707,.043462247,2715,104,0,0,0,118,0,0,0,2493,0,0,0,.17482328,,,,-.14535004,,,,0,0,0,,,,,,,.91823202,,,,,,,1,matched (3)
GARDENING GLOVES,.081437126,.046839654,.034597471,15030,704,0,0,0,520,0,0,0,13806,0,0,0,.1445452,,,,-.14516874,,,,0,0,0,,,,,,,.91856289,,,,,,,9,matched (3)
GARDENING GLOVES,.081437126,.046839654,.034597471,15030,704,0,0,0,520,0,0,0,13806,0,0,0,.1445452,,,,-.14516874,,,,0,0,0,,,,,,,.91856289,,,,,,,5,matched (3)
18 CT GOLD GEMSTONE RING,.081348196,.052711606,.028636593,3946,208,0,0,0,113,0,0,0,3625,0,0,0,.17961749,,,,-.142583,,,,0,0,0,,,,,,,.91865182,,,,,,,12,matched (3)
MEAT BASED SNACK M/PACK 400G,.080652468,.050294518,.030357951,2207,111,12,0,0,67,7,0,0,2029,203,0,0,.14460576,.049999952,,,-.20563203,-.28571427,,,222,0,0,.054054055,,,.031531531,,,.91934752,.91441441,,,.085585587,,,1,matched (3)
PACKET OF ENVELOPES,.080510706,.051726349,.028784359,70177,3630,200,0,0,2020,72,0,0,64527,4664,0,0,.13799793,.23141612,,,-.15264803,-.18695705,,,4936,0,0,.040518638,,,.014586709,,,.91948926,.94489467,,,.055105347,,,9,matched (3)
NEWSPAPER AD NON TRADE 20 WORD,.08025787,.055412699,.02484517,27611,1530,139,20,13,686,102,14,10,25395,4210,867,535,.14095923,.23579668,.20162818,.20227945,-.13507389,-.14247908,-.21694234,-.21239087,4451,901,558,.031228937,.022197558,.023297491,.022916198,.015538291,.017921148,.91974211,.94585484,.96226418,.95878136,.054145135,.03773585,.041218638,12,matched (3)
SMOKE ALARM,.080141425,.040954627,.039186802,6788,278,0,0,0,266,0,0,0,6244,0,0,0,.11942212,,,,-.14837247,,,,0,0,0,,,,,,,.91985857,,,,,,,5,matched (3)
WINDSCREEN WIPER BLADES,.079965375,.051643305,.028322073,41593,2148,183,19,7,1178,101,16,8,38267,4001,617,325,.095710263,.096429244,.16156405,.14168361,-.1191166,-.13156068,-.12624368,-.15477172,4285,652,340,.042707119,.029141104,.020588236,.023570595,.024539877,.023529412,.92003465,.93372226,.94631904,.95588237,.066277713,.053680979,.044117648,7,matched (3)
GOLF BALLS PRICE PER BALL,.079558924,.040346269,.039212655,19407,783,94,44,11,761,54,17,3,17863,3872,727,489,.23059633,.1898829,.12054104,.14009658,-.19239424,-.23208097,-.1849155,-.13774927,4020,788,503,.023383085,.055837564,.021868788,.013432836,.021573603,.0059642149,.92044109,.96318406,.92258883,.97216702,.036815919,.077411167,.027833004,9,matched (3)
FRUIT JUICE,.079442598,.055414468,.02402813,15357,851,0,0,0,369,0,0,0,14137,0,0,0,.067474611,,,,-.084144421,,,,0,0,0,,,,,,,.92055738,,,,,,,11,matched (3)
LIGHT BULB-PACK OF 2-SPECIFY W,.079141751,.039395005,.039746746,8529,336,0,0,0,339,0,0,0,7854,0,0,0,.12268239,,,,-.1488703,,,,0,0,0,,,,,,,.92085826,,,,,,,5,matched (3)
WOODSCREWS - STEEL/ZINC PLATED,.079089418,.054994915,.0240945,12783,703,0,0,0,308,0,0,0,11772,0,0,0,.14063111,,,,-.1559156,,,,0,0,0,,,,,,,.9209106,,,,,,,4,matched (3)
VEGETARIAN MAIN COURSE,.078994729,.053413033,.025581695,15558,831,0,0,0,398,0,0,0,14329,0,0,0,.070165731,,,,-.10365741,,,,0,0,0,,,,,,,.92100525,,,,,,,11,matched (3)
TAKEAWAY SOFT DRINK,.078093976,.058622733,.019471247,57418,3366,583,78,40,1118,120,50,16,52934,9619,1035,451,.080198221,.077258483,.12875561,.14326388,-.116253,-.11190511,-.15598905,-.16356717,10322,1163,507,.056481302,.067067929,.078895465,.011625654,.04299226,.031558186,.92190599,.93189305,.88993979,.88954633,.068106957,.11006019,.11045365,11,matched (3)
SQUASH COURT- EVENING,.077693202,.069584645,.0081085553,12086,841,0,0,0,98,0,0,0,11147,0,0,0,.047983482,,,,-.073462501,,,,0,0,0,,,,,,,.92230678,,,,,,,9,matched (3)
BOTTLE OF WINE 70-75CL,.077276014,.059777491,.017498521,91322,5459,684,22,0,1598,195,14,0,84265,10917,521,0,.054496147,.048774734,.054502539,,-.077562086,-.077213883,-.052805625,,11796,557,0,.057985757,.039497308,,.016531028,.025134649,,.92272401,.92548323,.93536806,,.074516788,.064631954,,11,matched (3)
BOTTLE OF WINE 70-75CL,.077276014,.059777491,.017498521,91322,5459,684,22,0,1598,195,14,0,84265,10917,521,0,.054496147,.048774734,.054502539,,-.077562086,-.077213883,-.052805625,,11796,557,0,.057985757,.039497308,,.016531028,.025134649,,.92272401,.92548323,.93536806,,.074516788,.064631954,,11,matched (3)
SWIMMING POOL ADM STND ADULT,.07689923,.071050674,.0058485577,48388,3438,386,0,0,283,32,1,0,44667,5753,154,0,.053893857,.035494957,,,-.099381298,-.069389015,-.22307689,,6171,155,0,.062550642,0,,.0051855454,.0064516128,,.92310077,.93226379,.99354839,,.067736186,.0064516128,,9,matched (3)
DRY ROASTED PEANUTS INDIVIDUAL,.076841652,.0544153,.022426352,55738,3033,0,0,0,1250,0,0,0,51455,0,0,0,.102099,,,,-.094527856,,,,0,0,0,,,,,,,.92315835,,,,,,,11,matched (3)
POTTING COMPOST,.076794952,.041766562,.035028391,39625,1655,127,8,3,1388,57,19,14,36582,3309,371,228,.18996745,.16650134,.36125237,.39675564,-.18363078,-.22885813,-.14399466,-.11679105,3493,398,245,.036358431,.020100502,.012244898,.016318351,.047738694,.057142857,.92320502,.9473232,.93216079,.93061227,.052676782,.067839198,.069387756,9,matched (3)
MEN'S BELT,.076396465,.037999801,.038396668,10079,383,0,0,0,387,0,0,0,9309,0,0,0,.26160455,,,,-.24802171,,,,0,0,0,,,,,,,.92360353,,,,,,,3,matched (3)
3 GOLF BALLS,.076346353,.041848384,.034497965,20407,854,0,0,0,704,0,0,0,18849,0,0,0,.16892099,,,,-.14035118,,,,0,0,0,,,,,,,.92365366,,,,,,,9,matched (3)
CYCLE HELMET,.075917333,.031133775,.044783559,26081,812,0,0,0,1168,0,0,0,24101,0,0,0,.17683361,,,,-.16348451,,,,0,0,0,,,,,,,.92408264,,,,,,,9,matched (3)
CYCLE HELMET,.075917333,.031133775,.044783559,26081,812,0,0,0,1168,0,0,0,24101,0,0,0,.17683361,,,,-.16348451,,,,0,0,0,,,,,,,.92408264,,,,,,,3,matched (3)
STAFF RESTAURNT HOT SNACK ITEM,.07587558,.052484218,.023391366,39288,2062,166,18,0,919,82,13,0,36307,3256,52,6,.10503832,.10829528,.19315319,,-.11583082,-.12286744,-.11141017,,3504,83,6,.047374431,.21686748,0,.023401827,.15662651,0,.92412442,.92922372,.62650603,1,.070776254,.37349397,0,11,matched (3)
SEED PACK. SPEC VAR SEASONAL,.074967876,.048988115,.025979763,24904,1220,12,0,0,647,13,0,0,23037,837,0,0,.16132611,.35917822,,,-.16391954,-.28466564,,,862,0,0,.013921114,,,.015081206,,,.92503214,.97099769,,,.02900232,,,9,matched (3)
MEN'S HANDKERCHIEF,.074957252,.043511305,.031445943,21052,916,0,0,0,662,0,0,0,19474,0,0,0,.20945044,,,,-.21339388,,,,0,0,0,,,,,,,.92504275,,,,,,,3,matched (3)
RESTAURANT - SWEET,.074820973,.058910958,.015910013,29604,1744,0,0,0,471,0,0,0,27389,0,0,0,.085358217,,,,-.090289913,,,,0,0,0,,,,,,,.925179,,,,,,,11,matched (3)
WRITING PAPER PAD-20-50SHEEETS,.074089393,.05108187,.023007523,38683,1976,0,0,0,890,0,0,0,35817,0,0,0,.12619953,,,,-.13808766,,,,0,0,0,,,,,,,.92591059,,,,,,,9,matched (3)
SHOWER CURTAIN,.073765054,.041827828,.03193723,18098,757,0,0,0,578,0,0,0,16763,0,0,0,.1441444,,,,-.16761538,,,,0,0,0,,,,,,,.92623496,,,,,,,5,matched (3)
PUB: COLD FILLED ROLL/SANDWICH,.073585361,.054943275,.018642088,86471,4751,0,0,0,1612,0,0,0,80108,0,0,0,.09922871,,,,-.106172,,,,0,0,0,,,,,,,.92641461,,,,,,,11,matched (3)
BOTTLE OF MIXER 125-200ML,.073367208,.056150585,.017216627,87764,4928,374,135,0,1511,112,84,0,81325,9182,300,0,.067405246,.070676528,.3535254,,-.093091145,-.10417558,-.10544759,,9668,519,0,.03868432,.26011559,,.011584609,.16184971,,.92663276,.94973105,.5780347,,.050268929,.4219653,,1,matched (3)
BOTTLE OF MIXER 125-200ML,.073367208,.056150585,.017216627,87764,4928,374,135,0,1511,112,84,0,81325,9182,300,0,.067405246,.070676528,.3535254,,-.093091145,-.10417558,-.10544759,,9668,519,0,.03868432,.26011559,,.011584609,.16184971,,.92663276,.94973105,.5780347,,.050268929,.4219653,,11,matched (3)
CINEMA POPCORN,.073239781,.064807974,.0084318072,16248,1053,198,3,0,137,13,0,0,15058,3438,59,0,.047793198,.050920013,.14285715,,-.060138728,-.071931966,,,3649,62,0,.054261442,.048387095,,.0035626199,0,,.9267602,.94217592,.95161289,,.05782406,.048387095,,11,matched (3)
PUB-ROLL/SANDWICH HOT OR COLD,.073105656,.05891142,.014194237,9370,552,0,0,0,133,0,0,0,8685,0,0,0,.080003463,,,,-.13150483,,,,0,0,0,,,,,,,.92689437,,,,,,,11,matched (3)
SELF-DRIVE VAN HIRE,.073026255,.049995262,.023030993,84408,4220,313,83,46,1944,208,35,27,78244,8000,1736,1074,.087845072,.11572912,.18905531,.18595369,-.1024132,-.14396524,-.11721317,-.10104835,8521,1854,1147,.036732778,.044768069,.04010462,.024410281,.018878102,.023539668,.92697376,.93885696,.9363538,.93635571,.061143059,.063646168,.06364429,7,matched (3)
ANNUAL BOOSTER INJECTION,.072897315,.060058005,.012839313,30687,1843,352,42,10,394,52,7,5,28450,5156,667,271,.043056864,.043696374,.067182526,.065626532,-.081743874,-.090150565,-.16351576,-.15957446,5560,716,286,.063309349,.058659218,.034965035,.0093525182,.0097765364,.017482517,.92710268,.92733812,.93156427,.94755244,.072661869,.068435758,.05244755,9,matched (3)
LEISURE CENTRE MEMBERSHIP,.072821178,.055907037,.016914139,15490,866,0,0,0,262,0,0,0,14362,0,0,0,.067141518,,,,-.093976766,,,,0,0,0,,,,,,,.9271788,,,,,,,9,matched (3)
FRUIT JUICE BOTTLE 250-350ML,.072611533,.061820723,.010790808,38644,2389,509,146,0,417,86,112,0,35838,8933,259,0,.040057439,.040059201,.16483593,,-.09119606,-.080502927,-.28093165,,9528,517,0,.053421494,.28239846,,.0090260282,.21663442,,.92738849,.93755245,.50096714,,.062447522,.49903288,,11,matched (3)
RESTAURANT - SWEET COURSE,.072487146,.053007904,.019479239,55803,2958,650,186,0,1087,196,141,0,51758,11003,388,0,.069168791,.052328963,.14344434,,-.10079109,-.08522284,-.13552648,,11849,715,0,.054856949,.26013985,,.016541481,.1972028,,.92751288,.92860156,.54265732,,.07139843,.45734265,,11,matched (3)
DRY CLEANING-MAN'S SUIT,.07247477,.062040757,.010434016,81656,5066,236,32,13,852,31,16,7,75738,6639,862,378,.058205966,.073383823,.09264794,.095371082,-.08260034,-.075767875,-.05145805,-.055010315,6906,910,398,.034173183,.035164837,.032663316,.0044888505,.017582418,.017587939,.92752522,.96133798,.94725275,.94974875,.038662035,.052747257,.050251253,3,matched (3)
BOTTLED MINERAL WATER,.072432563,.056283269,.016149292,50157,2823,447,153,0,810,84,116,0,46524,8886,246,0,.057242293,.045002069,.15140386,,-.10302971,-.074579224,-.16309245,,9417,515,0,.047467347,.29708737,,.0089200381,.22524272,,.92756742,.94361264,.47766989,,.056387387,.52233011,,11,matched (3)
CAT FOOD POUCH 85-100G,.072289154,.032003012,.040286146,2656,85,0,0,0,107,0,0,0,2464,0,0,0,.12074734,,,,-.12183635,,,,0,0,0,,,,,,,.92771083,,,,,,,9,matched (3)
SPECTACLE FRAMES STATE TYPE,.072229959,.045505419,.026724538,36633,1667,0,0,0,979,0,0,0,33987,0,0,0,.23750645,,,,-.20614049,,,,0,0,0,,,,,,,.92777002,,,,,,,6,matched (3)
SQUASH CRT-EVENING 30-40 MINS,.07207384,.06421838,.0078554591,5092,327,0,0,0,40,0,0,0,4725,0,0,0,.049554113,,,,-.099306032,,,,0,0,0,,,,,,,.92792618,,,,,,,9,matched (3)
NURSING HOME,.071468361,.064888954,.0065794056,28726,1864,208,25,10,189,10,4,2,26673,4816,940,595,.049103409,.070303641,.067538194,.076333299,-.055627644,-.075245939,-.0049370951,-.0067833662,5034,969,607,.041319031,.025799794,.016474465,.001986492,.0041279672,.0032948928,.92853165,.95669448,.97007221,.98023063,.043305524,.02992776,.019769358,6,matched (3)
PRIV RENTD UNFURNISHD PROPERTY,.07107383,.04435252,.02672131,78327,3474,0,0,0,2093,0,0,0,72760,0,0,0,.082254276,,,,-.072104745,,,,0,0,0,,,,,,,.92892617,,,,,,,4,matched (3)
CLEANING CLOTHS,.070947468,.032330491,.038616974,2227,72,0,0,0,86,0,0,0,2069,0,0,0,.26713383,,,,-.12098145,,,,0,0,0,,,,,,,.92905253,,,,,,,5,matched (3)
EXERCISE CLASS UPTO 1HR,.070424899,.061633799,.008791103,41633,2566,319,16,2,366,58,7,6,38701,5351,476,217,.056894854,.04483445,.06821426,.02102562,-.098237291,-.070576988,-.062890097,-.099806197,5728,499,225,.055691339,.032064129,.0088888891,.010125699,.014028057,.026666667,.92957509,.93418294,.95390779,.96444446,.065817036,.046092186,.035555556,9,matched (3)
HOME REMOVALS (BASIC CHARGE),.070062049,.055584282,.014477766,3868,215,0,0,0,56,0,0,0,3597,0,0,0,.11240616,,,,-.08521916,,,,0,0,0,,,,,,,.92993796,,,,,,,7,matched (3)
CAR REPAIRS MAIN DEALER,.069922589,.054566052,.015356536,15889,867,151,14,6,244,21,5,5,14778,3109,379,227,.077506348,.073108152,.053978454,.047260735,-.088267282,-.088327311,-.13641162,-.13641162,3281,398,238,.046022553,.035175879,.025210084,.0064004879,.012562814,.021008404,.93007743,.94757694,.95226133,.95378149,.052423041,.047738694,.046218488,7,matched (3)
KNITTING WOOL-DOUBLE KNIT-100G,.06978181,.046183497,.02359831,40469,1869,133,32,16,955,65,34,10,37645,3421,340,161,.10888685,.13885638,.25698051,.31595141,-.16989964,-.16757604,-.24284659,-.19945677,3619,406,187,.036750484,.078817733,.085561499,.017960763,.08374384,.053475935,.93021822,.94528878,.8374384,.86096257,.054711245,.16256157,.13903743,3,matched (3)
LIGHT BULB,.069726422,.039366532,.03035989,26647,1049,137,17,2,809,86,53,26,24789,3323,455,296,.27113602,.22165221,.24916668,.26666668,-.23936097,-.28514749,-.28486395,-.26101193,3546,525,324,.038635083,.032380953,.0061728396,.024252679,.10095238,.08024691,.93027359,.93711221,.86666667,.91358024,.062887758,.13333333,.086419746,5,matched (3)
RESIDENTIAL HOME,.06962838,.064695947,.0049324324,29600,1915,275,47,26,146,11,5,2,27539,4846,1003,633,.050637085,.059536193,.072286606,.081873566,-.05465287,-.099746533,-.074533336,-.0047861165,5132,1055,661,.053585347,.044549763,.039334342,.0021434138,.0047393367,.0030257185,.93037164,.94427127,.95071089,.95763993,.05572876,.0492891,.04236006,12,matched (3)
HIRE OF DOMES CARPET CLEANER,.069441415,.045616329,.023825089,13767,628,142,42,21,328,120,17,14,12811,3234,601,345,.20548858,.16377473,.11155895,.10914426,-.16782275,-.16002879,-.10740228,-.11594848,3496,660,380,.04061785,.063636363,.055263158,.034324944,.025757575,.036842104,.93055856,.92505723,.91060609,.90789473,.074942797,.089393936,.092105262,5,matched (3)
MICROSOFT WINDOWS 95 CD ROM -S,.06941177,.044705883,.024705883,850,38,0,0,0,21,0,0,0,791,0,0,0,.11316413,,,,-.081196479,,,,0,0,0,,,,,,,.93058825,,,,,,,9,matched (3)
T'AWAY COOKED SAVOURY PASTRYT'AWAY COOKED SAVOURY PASTRYT'AWAY COOKED SAVOURY PASTRY,.069366857,.061219741,.008147114,4296,263,244,37,14,35,23,26,4,3998,3498,620,191,.078330837,.079118505,.12512401,.18844442,-.11708132,-.12278614,-.15903901,-.15457362,3765,683,209,.064807437,.054172765,.066985644,.0061088977,.038067348,.019138755,.93063313,.92908365,.9077599,.91387558,.070916332,.09224011,.086124398,11,matched (3)
TEN-PIN BOWLING PER GAME,.069175921,.053853009,.015322912,29172,1571,300,0,0,447,71,0,0,27154,4381,93,0,.0909172,.063352771,,,-.13999945,-.073129609,,,4752,93,0,.06313131,0,,.014941078,0,,.9308241,.92192763,1,,.078072384,0,,9,matched (3)
GOLF BALLS,.069156297,.0096818814,.059474412,723,7,0,0,0,43,0,0,0,673,0,0,0,.20727374,,,,-.12442396,,,,0,0,0,,,,,,,.93084371,,,,,,,9,matched (3)
RESTAURANT-MAIN COURSE-EVENING,.069109946,.053239528,.015870418,30560,1627,0,0,0,485,0,0,0,28448,0,0,0,.061149675,,,,-.081139296,,,,0,0,0,,,,,,,.93089002,,,,,,,11,matched (3)
CAR SERVICE- LOCAL GARAGE,.069099322,.052272219,.016827103,26802,1401,140,17,8,451,38,5,5,24950,3328,514,310,.10368714,.081440277,.091806442,.079208314,-.11159188,-.093305878,-.055073485,-.055073485,3506,536,323,.039931547,.031716418,.024767801,.010838563,.0093283579,.015479876,.93090069,.9492299,.95895523,.95975232,.050770111,.041044775,.040247679,7,matched (3)
CAR MECH REPAIRS-LABOUR/HOUR,.068790875,.05792398,.010866893,20337,1178,0,0,0,221,0,0,0,18938,0,0,0,.092777625,,,,-.093391135,,,,0,0,0,,,,,,,.93120915,,,,,,,7,matched (3)
CHEWING/BUBBLE GUM-SINGLE PK,.068453006,.053352691,.015100317,37880,2021,165,33,13,572,57,16,8,35287,4141,459,214,.086819656,.083894148,.076980956,.056818157,-.091062061,-.096673973,-.12587979,-.11868709,4363,508,235,.037818015,.064960629,.055319149,.013064405,.031496063,.034042552,.93154699,.9491176,.90354329,.91063827,.050882421,.096456692,.089361697,1,matched (3)
COOKED HAM PREPACKED/SLICED,.068421051,.037799042,.030622009,2090,79,0,0,0,64,0,0,0,1947,0,0,0,.10040637,,,,-.093750179,,,,0,0,0,,,,,,,.93157893,,,,,,,1,matched (3)
SMOKE ALARM-STANDARD SINGLE,.068347141,.039395031,.028952107,13885,547,0,0,0,402,0,0,0,12936,0,0,0,.168245,,,,-.1317068,,,,0,0,0,,,,,,,.93165284,,,,,,,5,matched (3)
ETHNIC TAKEAWAY MAIN COURSE,.068285622,.053522032,.01476359,31090,1664,0,0,0,459,0,0,0,28967,0,0,0,.057119612,,,,-.073756568,,,,0,0,0,,,,,,,.93171436,,,,,,,11,matched (3)
BOTTLE OF CHAMPAGNE,.068047166,.049254894,.018792268,16709,823,0,0,0,314,0,0,0,15572,0,0,0,.060322128,,,,-.075292341,,,,0,0,0,,,,,,,.93195283,,,,,,,11,matched (3)
BOTTLE OF CHAMPAGNE,.068047166,.049254894,.018792268,16709,823,0,0,0,314,0,0,0,15572,0,0,0,.060322128,,,,-.075292341,,,,0,0,0,,,,,,,.93195283,,,,,,,11,matched (3)
DOG KENNEL-DAILY BOARDING FEE,.067687273,.059384547,.0083027259,32399,1924,0,0,0,269,0,0,0,30206,0,0,0,.079236902,,,,-.075669616,,,,0,0,0,,,,,,,.93231273,,,,,,,9,matched (3)
CINEMA (STD ADULT EVE SEAT),.067685671,.060678396,.0070072766,25973,1576,0,0,0,182,0,0,0,24215,0,0,0,.067747496,,,,-.13497204,,,,0,0,0,,,,,,,.93231434,,,,,,,9,matched (3)
PRIVATE RENTED FURNISHED PRPTY,.06764923,.040415369,.027233863,75788,3063,0,0,0,2064,0,0,0,70661,0,0,0,.075733237,,,,-.076081775,,,,0,0,0,,,,,,,.93235075,,,,,,,4,matched (3)
CHILD'S WELLINGTON BOOTS,.067480221,.038420819,.029059401,35892,1379,0,0,0,1043,0,0,0,33470,0,0,0,.19515343,,,,-.20000409,,,,0,0,0,,,,,,,.93251979,,,,,,,3,matched (3)
WOMEN'S HRDRESSING-CUT/BLOWDRY,.067266859,.057896234,.009370626,84306,4881,247,60,0,790,38,38,0,78635,7031,388,0,.066963859,.058800474,.064877331,,-.093865342,-.079625823,-.042338416,,7316,486,0,.033761617,.12345679,,.005194095,.078189299,,.93273312,.96104431,.79835391,,.038955711,.20164609,,12,matched (3)
NURSERY FEES: CHILD 0-4,.067191713,.061083376,.0061083375,32251,1970,297,50,21,197,21,5,3,30084,5188,767,392,.05670958,.053035114,.053456478,.049936134,-.070181124,-.053442374,-.097588688,-.13187853,5506,822,416,.053941157,.060827252,.050480768,.0038140211,.0060827252,.0072115385,.93280828,.94224483,.93309003,.94230771,.05775518,.066909976,.057692308,12,matched (3)
STAFF RESTAURANT SWEET,.066732585,.052199509,.014533079,43487,2270,0,0,0,632,0,0,0,40585,0,0,0,.10704704,,,,-.10966493,,,,0,0,0,,,,,,,.93326741,,,,,,,11,matched (3)
COMPUTER GAME 1,.06666667,0,.06666667,30,0,0,17,10,2,0,40,12,28,0,141,92,,,.18144982,.1784091,-.4920032,,-.059853856,-.042832408,0,198,114,,.085858583,.087719299,,.2020202,.10526316,.93333334,,.71212119,.80701756,,.28787878,.19298247,9,matched (3)
TAKEAWAY COFFEE LATTE,.066390932,.055204339,.011186593,46663,2576,468,70,21,522,42,67,8,43565,7112,414,118,.063549168,.050299477,.098242246,.051429361,-.11100175,-.066426568,-.12189689,-.11699527,7622,551,147,.061401207,.12704174,.14285715,.0055103647,.1215971,.054421768,.93360907,.93308842,.75136119,.80272108,.066911571,.24863884,.19727892,11,matched (3)
RESTAURANT-MAIN COURSE-LUNCH,.065233946,.049665794,.015568153,11819,587,0,0,0,184,0,0,0,11048,0,0,0,.065991402,,,,-.088286608,,,,0,0,0,,,,,,,.93476605,,,,,,,11,matched (3)
TAKEAWAY SOFT DRINK CAN/CARTON,.064817868,.054115769,.010702102,36348,1967,0,0,0,389,0,0,0,33992,0,0,0,.082898162,,,,-.10159454,,,,0,0,0,,,,,,,.93518215,,,,,,,11,matched (3)
LEMONADE/COLA-FLAV. DRINK,.064754725,.051078081,.013676645,14331,732,0,0,0,196,0,0,0,13403,0,0,0,.079621635,,,,-.096502155,,,,0,0,0,,,,,,,.93524528,,,,,,,1,matched (3)
BOTTLED MINERAL WATER 330ML,.064633258,.044662308,.019970952,2754,123,0,0,0,55,0,0,0,2576,0,0,0,.080226116,,,,-.13349584,,,,0,0,0,,,,,,,.93536675,,,,,,,11,matched (3)
WALLPAPER-WHITE-TEXTURED/BLOWN,.064590439,.035934765,.028655671,10853,390,0,0,0,311,0,0,0,10152,0,0,0,.25470912,,,,-.20213225,,,,0,0,0,,,,,,,.93540955,,,,,,,4,matched (3)
SECONDARY SCHOOL- CAFETERIA,.063923419,.056236081,.007687334,55676,3131,214,5,0,428,62,0,0,52117,4765,324,123,.046957087,.038355596,.041666627,,-.063773736,-.0414626,,,5041,329,123,.042451896,.015197569,0,.012299147,0,0,.93607658,.94524896,.98480242,1,.054751042,.015197569,0,11,matched (3)
RESTAURANT-CUP OF COFFEE,.063901499,.051588807,.012312691,65867,3398,0,0,0,811,0,0,0,61658,0,0,0,.096617043,,,,-.098746493,,,,0,0,0,,,,,,,.93609852,,,,,,,11,matched (3)
COSMETIC SURGERY,.063670412,.053682897,.0099875154,801,43,0,0,0,8,0,0,0,750,0,0,0,.054687541,,,,-.05382416,,,,0,0,0,,,,,,,.9363296,,,,,,,6,matched (3)
COSMETIC SURGERY,.063670412,.053682897,.0099875154,801,43,0,0,0,8,0,0,0,750,0,0,0,.054687541,,,,-.05382416,,,,0,0,0,,,,,,,.9363296,,,,,,,6,matched (3)
PRIMER AEROSOL-SPECIFY SIZE,.063353077,.050218903,.013134175,3883,195,0,0,0,51,0,0,0,3637,0,0,0,.13224347,,,,-.14475672,,,,0,0,0,,,,,,,.93664694,,,,,,,12,matched (3)
PRIMER AEROSOL-SPECIFY SIZE,.063353077,.050218903,.013134175,3883,195,0,0,0,51,0,0,0,3637,0,0,0,.13224347,,,,-.14475672,,,,0,0,0,,,,,,,.93664694,,,,,,,7,matched (3)
CARBON FIBRE FISHING ROD,.062989637,.035064444,.027925195,15828,555,65,21,7,442,58,12,5,14831,2460,302,154,.12708817,.10926628,.12873414,.14016439,-.1490965,-.17923428,-.13242067,-.07798814,2583,335,166,.025164537,.06268657,.042168673,.02245451,.035820894,.030120483,.93701035,.95238096,.90149254,.92771083,.047619045,.098507464,.072289154,9,matched (3)
CAR BULB 12 VOLT SPECIFY WATTS,.062650606,.04086747,.021783132,10375,424,214,39,15,226,84,21,7,9725,4055,725,391,.11321418,.09315969,.27872637,.12308764,-.16764407,-.14032422,-.18833458,-.21577564,4353,785,413,.049161498,.049681529,.036319613,.019297037,.026751593,.016949153,.93734938,.93154144,.92356688,.94673121,.068458535,.076433122,.053268768,7,matched (3)
