WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Units,Scale,Value
967,UVK,PCPIPCH,Kosovo,"Inflation, average consumer prices",Percent change,,0.218
967,UVK,PCPIE,Kosovo,"Inflation, end of period consumer prices",Index,,104.761
967,UVK,PCPIEPCH,Kosovo,"Inflation, end of period consumer prices",Percent change,,0.056
967,UVK,TM_RPCH,Kosovo,Volume of imports of goods and services,Percent change,,-6.196
967,UVK,TMG_RPCH,Kosovo,Volume of Imports of goods,Percent change,,-3.552
967,UVK,TX_RPCH,Kosovo,Volume of exports of goods and services,Percent change,,-27.851
967,UVK,TXG_RPCH,Kosovo,Volume of exports of goods,Percent change,,21.669
967,UVK,LUR,Kosovo,Unemployment rate,Percent of total labor force,,25.95
967,UVK,LE,Kosovo,Employment,Persons,Millions,
967,UVK,LP,Kosovo,Population,Persons,Millions,1.789
967,UVK,GGR,Kosovo,General government revenue,National currency,Billions,1.736
967,UVK,GGR_NGDP,Kosovo,General government revenue,Percent of GDP,,25.641
967,UVK,GGX,Kosovo,General government total expenditure,National currency,Billions,2.27
967,UVK,GGX_NGDP,Kosovo,General government total expenditure,Percent of GDP,,33.523
967,UVK,GGXCNL,Kosovo,General government net lending/borrowing,National currency,Billions,-0.534
967,UVK,GGXCNL_NGDP,Kosovo,General government net lending/borrowing,Percent of GDP,,-7.882
967,UVK,GGSB,Kosovo,General government structural balance,National currency,Billions,-0.43
967,UVK,GGSB_NPGDP,Kosovo,General government structural balance,Percent of potential GDP,,-5.955
967,UVK,GGXONLB,Kosovo,General government primary net lending/borrowing,National currency,Billions,-0.512
967,UVK,GGXONLB_NGDP,Kosovo,General government primary net lending/borrowing,Percent of GDP,,-7.558
967,UVK,GGXWDN,Kosovo,General government net debt,National currency,Billions,
967,UVK,GGXWDN_NGDP,Kosovo,General government net debt,Percent of GDP,,
967,UVK,GGXWDG,Kosovo,General government gross debt,National currency,Billions,1.523
967,UVK,GGXWDG_NGDP,Kosovo,General government gross debt,Percent of GDP,,22.487
967,UVK,NGDP_FY,Kosovo,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,6.772
967,UVK,BCA,Kosovo,Current account balance,U.S. dollars,Billions,-0.539
967,UVK,BCA_NGDPD,Kosovo,Current account balance,Percent of GDP,,-6.973
443,KWT,NGDP_R,Kuwait,"Gross domestic product, constant prices",National currency,Billions,36.006
443,KWT,NGDP_RPCH,Kuwait,"Gross domestic product, constant prices",Percent change,,-8.855
443,KWT,NGDP,Kuwait,"Gross domestic product, current prices",National currency,Billions,32.445
443,KWT,NGDPD,Kuwait,"Gross domestic product, current prices",U.S. dollars,Billions,105.949
443,KWT,PPPGDP,Kuwait,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,202.018
443,KWT,NGDP_D,Kuwait,"Gross domestic product, deflator",Index,,90.11
443,KWT,NGDPRPC,Kuwait,"Gross domestic product per capita, constant prices",National currency,Units,"7,708.89"
443,KWT,NGDPRPPPPC,Kuwait,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"41,006.31"
443,KWT,NGDPPC,Kuwait,"Gross domestic product per capita, current prices",National currency,Units,"6,946.48"
443,KWT,NGDPDPC,Kuwait,"Gross domestic product per capita, current prices",U.S. dollars,Units,"22,683.64"
443,KWT,PPPPC,Kuwait,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"43,251.99"
443,KWT,NGAP_NPGDP,Kuwait,Output gap in percent of potential GDP,Percent of potential GDP,,
443,KWT,PPPSH,Kuwait,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.152
443,KWT,PPPEX,Kuwait,Implied PPP conversion rate,National currency per current international dollar,,0.161
443,KWT,NID_NGDP,Kuwait,Total investment,Percent of GDP,,25.227
443,KWT,NGSD_NGDP,Kuwait,Gross national savings,Percent of GDP,,28.443
443,KWT,PCPI,Kuwait,"Inflation, average consumer prices",Index,,187.842
443,KWT,PCPIPCH,Kuwait,"Inflation, average consumer prices",Percent change,,2.109
443,KWT,PCPIE,Kuwait,"Inflation, end of period consumer prices",Index,,195.617
443,KWT,PCPIEPCH,Kuwait,"Inflation, end of period consumer prices",Percent change,,2.959
443,KWT,TM_RPCH,Kuwait,Volume of imports of goods and services,Percent change,,-14.961
443,KWT,TMG_RPCH,Kuwait,Volume of Imports of goods,Percent change,,-14.961
443,KWT,TX_RPCH,Kuwait,Volume of exports of goods and services,Percent change,,-9.866
443,KWT,TXG_RPCH,Kuwait,Volume of exports of goods,Percent change,,-9.866
443,KWT,LUR,Kuwait,Unemployment rate,Percent of total labor force,,1.276
443,KWT,LE,Kuwait,Employment,Persons,Millions,
443,KWT,LP,Kuwait,Population,Persons,Millions,4.671
443,KWT,GGR,Kuwait,General government revenue,National currency,Billions,17.123
443,KWT,GGR_NGDP,Kuwait,General government revenue,Percent of GDP,,52.775
443,KWT,GGX,Kuwait,General government total expenditure,National currency,Billions,21.264
443,KWT,GGX_NGDP,Kuwait,General government total expenditure,Percent of GDP,,65.538
443,KWT,GGXCNL,Kuwait,General government net lending/borrowing,National currency,Billions,-4.141
443,KWT,GGXCNL_NGDP,Kuwait,General government net lending/borrowing,Percent of GDP,,-12.763
443,KWT,GGSB,Kuwait,General government structural balance,National currency,Billions,
443,KWT,GGSB_NPGDP,Kuwait,General government structural balance,Percent of potential GDP,,
443,KWT,GGXONLB,Kuwait,General government primary net lending/borrowing,National currency,Billions,-8.907
443,KWT,GGXONLB_NGDP,Kuwait,General government primary net lending/borrowing,Percent of GDP,,-27.451
443,KWT,GGXWDN,Kuwait,General government net debt,National currency,Billions,
443,KWT,GGXWDN_NGDP,Kuwait,General government net debt,Percent of GDP,,
443,KWT,GGXWDG,Kuwait,General government gross debt,National currency,Billions,3.798
443,KWT,GGXWDG_NGDP,Kuwait,General government gross debt,Percent of GDP,,11.706
443,KWT,NGDP_FY,Kuwait,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,32.445
443,KWT,BCA,Kuwait,Current account balance,U.S. dollars,Billions,3.407
443,KWT,BCA_NGDPD,Kuwait,Current account balance,Percent of GDP,,3.215
917,KGZ,NGDP_R,Kyrgyz Republic,"Gross domestic product, constant prices",National currency,Billions,170.546
917,KGZ,NGDP_RPCH,Kyrgyz Republic,"Gross domestic product, constant prices",Percent change,,-8.617
917,KGZ,NGDP,Kyrgyz Republic,"Gross domestic product, current prices",National currency,Billions,601.82
917,KGZ,NGDPD,Kyrgyz Republic,"Gross domestic product, current prices",U.S. dollars,Billions,7.792
917,KGZ,PPPGDP,Kyrgyz Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,32.629
917,KGZ,NGDP_D,Kyrgyz Republic,"Gross domestic product, deflator",Index,,352.879
917,KGZ,NGDPRPC,Kyrgyz Republic,"Gross domestic product per capita, constant prices",National currency,Units,"26,169.77"
917,KGZ,NGDPRPPPPC,Kyrgyz Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"4,746.81"
917,KGZ,NGDPPC,Kyrgyz Republic,"Gross domestic product per capita, current prices",National currency,Units,"92,347.53"
917,KGZ,NGDPDPC,Kyrgyz Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,195.72"
917,KGZ,PPPPC,Kyrgyz Republic,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"5,006.77"
917,KGZ,NGAP_NPGDP,Kyrgyz Republic,Output gap in percent of potential GDP,Percent of potential GDP,,
917,KGZ,PPPSH,Kyrgyz Republic,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.025
917,KGZ,PPPEX,Kyrgyz Republic,Implied PPP conversion rate,National currency per current international dollar,,18.445
917,KGZ,NID_NGDP,Kyrgyz Republic,Total investment,Percent of GDP,,18.541
917,KGZ,NGSD_NGDP,Kyrgyz Republic,Gross national savings,Percent of GDP,,23.022
917,KGZ,PCPI,Kyrgyz Republic,"Inflation, average consumer prices",Index,,165.523
917,KGZ,PCPIPCH,Kyrgyz Republic,"Inflation, average consumer prices",Percent change,,6.323
917,KGZ,PCPIE,Kyrgyz Republic,"Inflation, end of period consumer prices",Index,,174.894
917,KGZ,PCPIEPCH,Kyrgyz Republic,"Inflation, end of period consumer prices",Percent change,,9.722
917,KGZ,TM_RPCH,Kyrgyz Republic,Volume of imports of goods and services,Percent change,,-24.293
917,KGZ,TMG_RPCH,Kyrgyz Republic,Volume of Imports of goods,Percent change,,-22.27
917,KGZ,TX_RPCH,Kyrgyz Republic,Volume of exports of goods and services,Percent change,,-25.066
917,KGZ,TXG_RPCH,Kyrgyz Republic,Volume of exports of goods,Percent change,,-10.432
917,KGZ,LUR,Kyrgyz Republic,Unemployment rate,Percent of total labor force,,6.605
917,KGZ,LE,Kyrgyz Republic,Employment,Persons,Millions,
917,KGZ,LP,Kyrgyz Republic,Population,Persons,Millions,6.517
917,KGZ,GGR,Kyrgyz Republic,General government revenue,National currency,Billions,185.582
917,KGZ,GGR_NGDP,Kyrgyz Republic,General government revenue,Percent of GDP,,30.837
917,KGZ,GGX,Kyrgyz Republic,General government total expenditure,National currency,Billions,205.17
917,KGZ,GGX_NGDP,Kyrgyz Republic,General government total expenditure,Percent of GDP,,34.092
917,KGZ,GGXCNL,Kyrgyz Republic,General government net lending/borrowing,National currency,Billions,-19.588
917,KGZ,GGXCNL_NGDP,Kyrgyz Republic,General government net lending/borrowing,Percent of GDP,,-3.255
917,KGZ,GGSB,Kyrgyz Republic,General government structural balance,National currency,Billions,-7.141
917,KGZ,GGSB_NPGDP,Kyrgyz Republic,General government structural balance,Percent of potential GDP,,-1.112
917,KGZ,GGXONLB,Kyrgyz Republic,General government primary net lending/borrowing,National currency,Billions,-13.606
917,KGZ,GGXONLB_NGDP,Kyrgyz Republic,General government primary net lending/borrowing,Percent of GDP,,-2.261
917,KGZ,GGXWDN,Kyrgyz Republic,General government net debt,National currency,Billions,
917,KGZ,GGXWDN_NGDP,Kyrgyz Republic,General government net debt,Percent of GDP,,
917,KGZ,GGXWDG,Kyrgyz Republic,General government gross debt,National currency,Billions,407.117
917,KGZ,GGXWDG_NGDP,Kyrgyz Republic,General government gross debt,Percent of GDP,,67.648
917,KGZ,NGDP_FY,Kyrgyz Republic,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,601.82
917,KGZ,BCA,Kyrgyz Republic,Current account balance,U.S. dollars,Billions,0.349
917,KGZ,BCA_NGDPD,Kyrgyz Republic,Current account balance,Percent of GDP,,4.481
544,LAO,NGDP_R,Lao P.D.R.,"Gross domestic product, constant prices",National currency,Billions,"128,886.89"
544,LAO,NGDP_RPCH,Lao P.D.R.,"Gross domestic product, constant prices",Percent change,,-0.435
544,LAO,NGDP,Lao P.D.R.,"Gross domestic product, current prices",National currency,Billions,"167,791.94"
544,LAO,NGDPD,Lao P.D.R.,"Gross domestic product, current prices",U.S. dollars,Billions,18.524
544,LAO,PPPGDP,Lao P.D.R.,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,58.928
544,LAO,NGDP_D,Lao P.D.R.,"Gross domestic product, deflator",Index,,130.185
544,LAO,NGDPRPC,Lao P.D.R.,"Gross domestic product per capita, constant prices",National currency,Units,"17,715,056.53"
544,LAO,NGDPRPPPPC,Lao P.D.R.,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"7,678.89"
544,LAO,NGDPPC,Lao P.D.R.,"Gross domestic product per capita, current prices",National currency,Units,"23,062,421.93"
544,LAO,NGDPDPC,Lao P.D.R.,"Gross domestic product per capita, current prices",U.S. dollars,Units,"2,546.10"
544,LAO,PPPPC,Lao P.D.R.,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"8,099.42"
544,LAO,NGAP_NPGDP,Lao P.D.R.,Output gap in percent of potential GDP,Percent of potential GDP,,
544,LAO,PPPSH,Lao P.D.R.,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.044
544,LAO,PPPEX,Lao P.D.R.,Implied PPP conversion rate,National currency per current international dollar,,"2,847.42"
544,LAO,NID_NGDP,Lao P.D.R.,Total investment,Percent of GDP,,
544,LAO,NGSD_NGDP,Lao P.D.R.,Gross national savings,Percent of GDP,,
544,LAO,PCPI,Lao P.D.R.,"Inflation, average consumer prices",Index,,113.185
544,LAO,PCPIPCH,Lao P.D.R.,"Inflation, average consumer prices",Percent change,,5.104
544,LAO,PCPIE,Lao P.D.R.,"Inflation, end of period consumer prices",Index,,114.281
544,LAO,PCPIEPCH,Lao P.D.R.,"Inflation, end of period consumer prices",Percent change,,3.226
544,LAO,TM_RPCH,Lao P.D.R.,Volume of imports of goods and services,Percent change,,-16.746
544,LAO,TMG_RPCH,Lao P.D.R.,Volume of Imports of goods,Percent change,,-7.722
544,LAO,TX_RPCH,Lao P.D.R.,Volume of exports of goods and services,Percent change,,-7.407
544,LAO,TXG_RPCH,Lao P.D.R.,Volume of exports of goods,Percent change,,1.446
544,LAO,LUR,Lao P.D.R.,Unemployment rate,Percent of total labor force,,
544,LAO,LE,Lao P.D.R.,Employment,Persons,Millions,
544,LAO,LP,Lao P.D.R.,Population,Persons,Millions,7.276
544,LAO,GGR,Lao P.D.R.,General government revenue,National currency,Billions,"21,780.87"
544,LAO,GGR_NGDP,Lao P.D.R.,General government revenue,Percent of GDP,,12.981
544,LAO,GGX,Lao P.D.R.,General government total expenditure,National currency,Billions,"31,162.87"
544,LAO,GGX_NGDP,Lao P.D.R.,General government total expenditure,Percent of GDP,,18.572
544,LAO,GGXCNL,Lao P.D.R.,General government net lending/borrowing,National currency,Billions,"-9,382.00"
544,LAO,GGXCNL_NGDP,Lao P.D.R.,General government net lending/borrowing,Percent of GDP,,-5.591
544,LAO,GGSB,Lao P.D.R.,General government structural balance,National currency,Billions,
544,LAO,GGSB_NPGDP,Lao P.D.R.,General government structural balance,Percent of potential GDP,,
544,LAO,GGXONLB,Lao P.D.R.,General government primary net lending/borrowing,National currency,Billions,"-6,852.14"
544,LAO,GGXONLB_NGDP,Lao P.D.R.,General government primary net lending/borrowing,Percent of GDP,,-4.084
544,LAO,GGXWDN,Lao P.D.R.,General government net debt,National currency,Billions,
544,LAO,GGXWDN_NGDP,Lao P.D.R.,General government net debt,Percent of GDP,,
544,LAO,GGXWDG,Lao P.D.R.,General government gross debt,National currency,Billions,"138,607.67"
544,LAO,GGXWDG_NGDP,Lao P.D.R.,General government gross debt,Percent of GDP,,82.607
544,LAO,NGDP_FY,Lao P.D.R.,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"167,791.94"
544,LAO,BCA,Lao P.D.R.,Current account balance,U.S. dollars,Billions,-0.837
544,LAO,BCA_NGDPD,Lao P.D.R.,Current account balance,Percent of GDP,,-4.519
941,LVA,NGDP_R,Latvia,"Gross domestic product, constant prices",National currency,Billions,26.652
941,LVA,NGDP_RPCH,Latvia,"Gross domestic product, constant prices",Percent change,,-3.769
941,LVA,NGDP,Latvia,"Gross domestic product, current prices",National currency,Billions,29.457
941,LVA,NGDPD,Latvia,"Gross domestic product, current prices",U.S. dollars,Billions,33.619
941,LVA,PPPGDP,Latvia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,60.271
941,LVA,NGDP_D,Latvia,"Gross domestic product, deflator",Index,,110.526
941,LVA,NGDPRPC,Latvia,"Gross domestic product per capita, constant prices",National currency,Units,"13,970.69"
941,LVA,NGDPRPPPPC,Latvia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"29,953.67"
941,LVA,NGDPPC,Latvia,"Gross domestic product per capita, current prices",National currency,Units,"15,441.21"
941,LVA,NGDPDPC,Latvia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"17,622.78"
941,LVA,PPPPC,Latvia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"31,594.07"
941,LVA,NGAP_NPGDP,Latvia,Output gap in percent of potential GDP,Percent of potential GDP,,
941,LVA,PPPSH,Latvia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.045
941,LVA,PPPEX,Latvia,Implied PPP conversion rate,National currency per current international dollar,,0.489
941,LVA,NID_NGDP,Latvia,Total investment,Percent of GDP,,21.676
941,LVA,NGSD_NGDP,Latvia,Gross national savings,Percent of GDP,,24.564
941,LVA,PCPI,Latvia,"Inflation, average consumer prices",Index,,108.618
941,LVA,PCPIPCH,Latvia,"Inflation, average consumer prices",Percent change,,0.081
941,LVA,PCPIE,Latvia,"Inflation, end of period consumer prices",Index,,107.95
941,LVA,PCPIEPCH,Latvia,"Inflation, end of period consumer prices",Percent change,,-0.489
941,LVA,TM_RPCH,Latvia,Volume of imports of goods and services,Percent change,,-2.465
941,LVA,TMG_RPCH,Latvia,Volume of Imports of goods,Percent change,,-2.465
941,LVA,TX_RPCH,Latvia,Volume of exports of goods and services,Percent change,,-2.153
941,LVA,TXG_RPCH,Latvia,Volume of exports of goods,Percent change,,-2.153
941,LVA,LUR,Latvia,Unemployment rate,Percent of total labor force,,8.099
941,LVA,LE,Latvia,Employment,Persons,Millions,0.893
941,LVA,LP,Latvia,Population,Persons,Millions,1.908
941,LVA,GGR,Latvia,General government revenue,National currency,Billions,11.321
941,LVA,GGR_NGDP,Latvia,General government revenue,Percent of GDP,,38.431
941,LVA,GGX,Latvia,General government total expenditure,National currency,Billions,12.469
941,LVA,GGX_NGDP,Latvia,General government total expenditure,Percent of GDP,,42.331
941,LVA,GGXCNL,Latvia,General government net lending/borrowing,National currency,Billions,-1.149
941,LVA,GGXCNL_NGDP,Latvia,General government net lending/borrowing,Percent of GDP,,-3.9
941,LVA,GGSB,Latvia,General government structural balance,National currency,Billions,-1.063
941,LVA,GGSB_NPGDP,Latvia,General government structural balance,Percent of potential GDP,,-3.525
941,LVA,GGXONLB,Latvia,General government primary net lending/borrowing,National currency,Billions,-0.886
941,LVA,GGXONLB_NGDP,Latvia,General government primary net lending/borrowing,Percent of GDP,,-3.008
941,LVA,GGXWDN,Latvia,General government net debt,National currency,Billions,9.846
941,LVA,GGXWDN_NGDP,Latvia,General government net debt,Percent of GDP,,33.425
941,LVA,GGXWDG,Latvia,General government gross debt,National currency,Billions,12.75
941,LVA,GGXWDG_NGDP,Latvia,General government gross debt,Percent of GDP,,43.283
941,LVA,NGDP_FY,Latvia,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,29.457
941,LVA,BCA,Latvia,Current account balance,U.S. dollars,Billions,0.964
941,LVA,BCA_NGDPD,Latvia,Current account balance,Percent of GDP,,2.869
446,LBN,NGDP_R,Lebanon,"Gross domestic product, constant prices",National currency,Billions,"46,731.36"
446,LBN,NGDP_RPCH,Lebanon,"Gross domestic product, constant prices",Percent change,,-22
446,LBN,NGDP,Lebanon,"Gross domestic product, current prices",National currency,Billions,"106,741.07"
446,LBN,NGDPD,Lebanon,"Gross domestic product, current prices",U.S. dollars,Billions,27.32
446,LBN,PPPGDP,Lebanon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,82.144
446,LBN,NGDP_D,Lebanon,"Gross domestic product, deflator",Index,,228.414
446,LBN,NGDPRPC,Lebanon,"Gross domestic product per capita, constant prices",National currency,Units,"6,846,642.31"
446,LBN,NGDPRPPPPC,Lebanon,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"11,410.04"
446,LBN,NGDPPC,Lebanon,"Gross domestic product per capita, current prices",National currency,Units,"15,638,703.78"
446,LBN,NGDPDPC,Lebanon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,002.74"
446,LBN,PPPPC,Lebanon,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"12,034.90"
446,LBN,NGAP_NPGDP,Lebanon,Output gap in percent of potential GDP,Percent of potential GDP,,
446,LBN,PPPSH,Lebanon,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.062
446,LBN,PPPEX,Lebanon,Implied PPP conversion rate,National currency per current international dollar,,"1,299.45"
446,LBN,NID_NGDP,Lebanon,Total investment,Percent of GDP,,
446,LBN,NGSD_NGDP,Lebanon,Gross national savings,Percent of GDP,,-10.162
446,LBN,PCPI,Lebanon,"Inflation, average consumer prices",Index,,202.875
446,LBN,PCPIPCH,Lebanon,"Inflation, average consumer prices",Percent change,,84.88
446,LBN,PCPIE,Lebanon,"Inflation, end of period consumer prices",Index,,284
446,LBN,PCPIEPCH,Lebanon,"Inflation, end of period consumer prices",Percent change,,145.887
446,LBN,TM_RPCH,Lebanon,Volume of imports of goods and services,Percent change,,-50.56
446,LBN,TMG_RPCH,Lebanon,Volume of Imports of goods,Percent change,,-41.393
446,LBN,TX_RPCH,Lebanon,Volume of exports of goods and services,Percent change,,-49.681
446,LBN,TXG_RPCH,Lebanon,Volume of exports of goods,Percent change,,-21.662
446,LBN,LUR,Lebanon,Unemployment rate,Percent of total labor force,,
446,LBN,LE,Lebanon,Employment,Persons,Millions,
446,LBN,LP,Lebanon,Population,Persons,Millions,6.825
446,LBN,GGR,Lebanon,General government revenue,National currency,Billions,"14,694.56"
446,LBN,GGR_NGDP,Lebanon,General government revenue,Percent of GDP,,13.767
446,LBN,GGX,Lebanon,General government total expenditure,National currency,Billions,"20,929.56"
446,LBN,GGX_NGDP,Lebanon,General government total expenditure,Percent of GDP,,19.608
446,LBN,GGXCNL,Lebanon,General government net lending/borrowing,National currency,Billions,"-6,235.00"
446,LBN,GGXCNL_NGDP,Lebanon,General government net lending/borrowing,Percent of GDP,,-5.841
446,LBN,GGSB,Lebanon,General government structural balance,National currency,Billions,"-9,043.81"
446,LBN,GGSB_NPGDP,Lebanon,General government structural balance,Percent of potential GDP,,-7.667
446,LBN,GGXONLB,Lebanon,General government primary net lending/borrowing,National currency,Billions,-818.019
446,LBN,GGXONLB_NGDP,Lebanon,General government primary net lending/borrowing,Percent of GDP,,-0.766
446,LBN,GGXWDN,Lebanon,General government net debt,National currency,Billions,"141,581.00"
446,LBN,GGXWDN_NGDP,Lebanon,General government net debt,Percent of GDP,,132.64
446,LBN,GGXWDG,Lebanon,General government gross debt,National currency,Billions,"144,108.00"
446,LBN,GGXWDG_NGDP,Lebanon,General government gross debt,Percent of GDP,,135.007
446,LBN,NGDP_FY,Lebanon,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"106,741.07"
446,LBN,BCA,Lebanon,Current account balance,U.S. dollars,Billions,-3.876
446,LBN,BCA_NGDPD,Lebanon,Current account balance,Percent of GDP,,-14.189
666,LSO,NGDP_R,Lesotho,"Gross domestic product, constant prices",National currency,Billions,20.373
666,LSO,NGDP_RPCH,Lesotho,"Gross domestic product, constant prices",Percent change,,-5.982
666,LSO,NGDP,Lesotho,"Gross domestic product, current prices",National currency,Billions,33.718
666,LSO,NGDPD,Lesotho,"Gross domestic product, current prices",U.S. dollars,Billions,2.061
666,LSO,PPPGDP,Lesotho,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,5.501
666,LSO,NGDP_D,Lesotho,"Gross domestic product, deflator",Index,,165.5
666,LSO,NGDPRPC,Lesotho,"Gross domestic product per capita, constant prices",National currency,Units,"9,880.74"
666,LSO,NGDPRPPPPC,Lesotho,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"2,529.27"
666,LSO,NGDPPC,Lesotho,"Gross domestic product per capita, current prices",National currency,Units,"16,352.61"
666,LSO,NGDPDPC,Lesotho,"Gross domestic product per capita, current prices",U.S. dollars,Units,999.345
666,LSO,PPPPC,Lesotho,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,667.79"
666,LSO,NGAP_NPGDP,Lesotho,Output gap in percent of potential GDP,Percent of potential GDP,,
666,LSO,PPPSH,Lesotho,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.004
666,LSO,PPPEX,Lesotho,Implied PPP conversion rate,National currency per current international dollar,,6.13
666,LSO,NID_NGDP,Lesotho,Total investment,Percent of GDP,,26.087
666,LSO,NGSD_NGDP,Lesotho,Gross national savings,Percent of GDP,,24.072
666,LSO,PCPI,Lesotho,"Inflation, average consumer prices",Index,,120.815
666,LSO,PCPIPCH,Lesotho,"Inflation, average consumer prices",Percent change,,4.978
666,LSO,PCPIE,Lesotho,"Inflation, end of period consumer prices",Index,,124.284
666,LSO,PCPIEPCH,Lesotho,"Inflation, end of period consumer prices",Percent change,,6.453
666,LSO,TM_RPCH,Lesotho,Volume of imports of goods and services,Percent change,,-2.413
666,LSO,TMG_RPCH,Lesotho,Volume of Imports of goods,Percent change,,-2.06
666,LSO,TX_RPCH,Lesotho,Volume of exports of goods and services,Percent change,,-21.594
666,LSO,TXG_RPCH,Lesotho,Volume of exports of goods,Percent change,,-20.246
666,LSO,LUR,Lesotho,Unemployment rate,Percent of total labor force,,
666,LSO,LE,Lesotho,Employment,Persons,Millions,
666,LSO,LP,Lesotho,Population,Persons,Millions,2.062
666,LSO,GGR,Lesotho,General government revenue,National currency,Billions,18.633
666,LSO,GGR_NGDP,Lesotho,General government revenue,Percent of GDP,,55.26
666,LSO,GGX,Lesotho,General government total expenditure,National currency,Billions,18.548
666,LSO,GGX_NGDP,Lesotho,General government total expenditure,Percent of GDP,,55.01
666,LSO,GGXCNL,Lesotho,General government net lending/borrowing,National currency,Billions,0.084
666,LSO,GGXCNL_NGDP,Lesotho,General government net lending/borrowing,Percent of GDP,,0.25
666,LSO,GGSB,Lesotho,General government structural balance,National currency,Billions,
666,LSO,GGSB_NPGDP,Lesotho,General government structural balance,Percent of potential GDP,,
666,LSO,GGXONLB,Lesotho,General government primary net lending/borrowing,National currency,Billions,0.615
666,LSO,GGXONLB_NGDP,Lesotho,General government primary net lending/borrowing,Percent of GDP,,1.823
666,LSO,GGXWDN,Lesotho,General government net debt,National currency,Billions,6.306
666,LSO,GGXWDN_NGDP,Lesotho,General government net debt,Percent of GDP,,18.701
666,LSO,GGXWDG,Lesotho,General government gross debt,National currency,Billions,18.269
666,LSO,GGXWDG_NGDP,Lesotho,General government gross debt,Percent of GDP,,54.183
666,LSO,NGDP_FY,Lesotho,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,33.718
666,LSO,BCA,Lesotho,Current account balance,U.S. dollars,Billions,-0.042
666,LSO,BCA_NGDPD,Lesotho,Current account balance,Percent of GDP,,-2.015
668,LBR,NGDP_R,Liberia,"Gross domestic product, constant prices",National currency,Billions,3.088
668,LBR,NGDP_RPCH,Liberia,"Gross domestic product, constant prices",Percent change,,-2.967
668,LBR,NGDP,Liberia,"Gross domestic product, current prices",National currency,Billions,3.037
668,LBR,NGDPD,Liberia,"Gross domestic product, current prices",U.S. dollars,Billions,3.037
668,LBR,PPPGDP,Liberia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,7.276
668,LBR,NGDP_D,Liberia,"Gross domestic product, deflator",Index,,98.366
668,LBR,NGDPRPC,Liberia,"Gross domestic product per capita, constant prices",National currency,Units,657.837
668,LBR,NGDPRPPPPC,Liberia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"1,469.75"
668,LBR,NGDPPC,Liberia,"Gross domestic product per capita, current prices",National currency,Units,647.089
668,LBR,NGDPDPC,Liberia,"Gross domestic product per capita, current prices",U.S. dollars,Units,647.089
668,LBR,PPPPC,Liberia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,550.24"
668,LBR,NGAP_NPGDP,Liberia,Output gap in percent of potential GDP,Percent of potential GDP,,
668,LBR,PPPSH,Liberia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.005
668,LBR,PPPEX,Liberia,Implied PPP conversion rate,National currency per current international dollar,,0.417
668,LBR,NID_NGDP,Liberia,Total investment,Percent of GDP,,
668,LBR,NGSD_NGDP,Liberia,Gross national savings,Percent of GDP,,
